"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Trey Mancini","2021","DH","BAL","$4,750,000","$4,750,000","$4,750,000",""
"","Pedro Baez","2021","RP","HOU","$4,500,000","$4,750,000","$4,750,000",""
"","Brandon Nimmo","2021","CF","NYM","$4,700,000","$4,700,000","$4,700,000",""
"","Luke Voit","2021","1B","NYY","$4,700,000","$4,700,000","$4,700,000",""
"","Giovanny Urshela","2021","3B","NYY","$4,650,000","$4,650,000","$4,650,000",""
"","Rafael Devers","2021","3B","BOS","$4,575,000","$4,575,000","$4,575,000",""
"","Jose Leclerc","2021","RP","TEX","$4,000,000","$4,500,000","$4,500,000",""
"","Craig Stammen","2021","RP","SD","$4,000,000","$4,500,000","$4,500,000",""
"","Jesus Aguilar","2021","1B","MIA","$4,350,000","$4,500,000","$4,500,000",""
"","Jonathan Schoop","2021","2B","DET","$4,500,000","$4,500,000","$4,500,000",""
"","Matt Barnes","2021","RP","BOS","$4,500,000","$4,500,000","$4,500,000",""
"","Martin Perez","2021","RP","BOS","$4,500,000","$4,500,000","$4,500,000",""
"","Joc Pederson","2021","LF","ATL","$4,500,000","$4,500,000","$1,935,520",""
"","Joe Musgrove","2021","SP","SD","$4,450,000","$4,450,000","$4,450,000",""
"","Zach Eflin","2021","SP","PHI","$4,450,000","$4,450,000","$4,450,000",""
"","Michael Lorenzen","2021","SP","CIN","$4,437,500","$4,437,500","$4,437,500",""
"","Jorge Polanco","2021","SS","MIN","$4,333,334","$4,333,334","$4,333,334",""
"","Jurickson Profar","2021","LF","SD","$3,500,000","$4,333,333","$4,333,333",""
"","Eloy Jimenez","2021","DH","CHW","$3,500,000","$4,333,333","$4,333,333",""
"","Teoscar Hernandez","2021","DH","TOR","$4,325,000","$4,325,000","$4,325,000",""
"","Adam Frazier","2021","2B","SD","$4,300,000","$4,300,000","$214,690",""
"","Merrill Kelly","2021","SP","ARI","$4,250,000","$4,250,000","$4,250,000",""
"","Dinelson Lamet","2021","SP","SD","$4,200,000","$4,200,000","$4,200,000",""
"","Luis Castillo","2021","SP","CIN","$4,200,000","$4,200,000","$4,200,000",""
"","Tucker Barnhart","2021","C","CIN","$3,750,000","$4,187,500","$4,187,500",""
"","Paul DeJong","2021","SS","STL","$4,000,000","$4,166,666","$4,166,666",""
"","Lucas Giolito","2021","SP","CHW","$4,150,000","$4,150,000","$4,150,000",""
"","Ian Happ","2021","CF","CHC","$4,100,000","$4,100,000","$4,100,000",""
"","Mychal Givens","2021","RP","CIN","$4,050,000","$4,050,000","$1,458,858",""
"","Jake Diekman","2021","RP","OAK","$4,000,000","$4,000,000","$4,000,000",""
"","Mark Melancon","2021","RP/CL","SD","$2,000,000","$4,000,000","$4,000,000",""
"","Kwang-hyun Kim","2021","SP","STL","$4,000,000","$4,000,000","$4,000,000",""
"","Tyler Glasnow","2021","SP","TB","$4,000,000","$4,000,000","$4,000,000",""
"","Gleyber Torres","2021","SS","NYY","$4,000,000","$4,000,000","$4,000,000",""
"","Scott Oberg","2021","RP","COL","$4,000,000","$4,000,000","$4,000,000",""
"","Joe Smith","2021","RP","SEA","$4,000,000","$4,000,000","$1,462,340",""
"","Lourdes Gurriel Jr.","2021","LF","TOR","$3,500,000","$3,928,571","$3,928,571",""
"","Jack Flaherty","2021","SP","STL","$3,900,000","$3,900,000","$3,900,000",""
"","Brian Anderson","2021","3B","MIA","$3,800,000","$3,800,000","$3,800,000",""
"","Walker Buehler","2021","SP","LAD","$2,750,000","$3,750,000","$3,750,000",""
"","Greg Holland","2021","RP","KC","$2,750,000","$3,750,000","$3,750,000",""
"","Hunter Renfroe","2021","RF","BOS","$3,100,000","$3,700,000","$3,700,000",""
"","Kevin Pillar","2021","CF","NYM","$3,600,000","$3,600,000","$3,600,000",""
"","Julio Urias","2021","SP","LAD","$3,600,000","$3,600,000","$3,600,000",""
"","Jonathan Villar","2021","OF","NYM","$3,550,000","$3,550,000","$3,550,000",""
"","Michael Fiers","2021","SP","OAK","$3,500,000","$3,500,000","$3,500,000",""
"","Mike Clevinger","2021","SP","SD","$2,000,000","$3,500,000","$3,500,000",""
