Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Alex Colome,RP,62,0,61.0,42,28,19,23,55,4,5,30,1.07,2.8,CHW,7325000
Kyle Ryan,RP,73,0,61.0,55,26,24,29,58,4,2,0,1.38,3.54,CHC,555000
Hector Rondon,RP,62,1,60.7,56,25,25,20,48,3,2,0,1.25,3.71,HOU,4500000
Kirby Yates,RP,60,0,60.7,41,14,8,13,101,0,5,41,0.89,1.19,SD,3062500
Yoan Lopez,RP,70,0,60.7,52,27,23,17,42,2,7,1,1.14,3.41,ARI,556900
Adam Conley,RP,60,0,60.7,76,45,44,29,53,2,11,2,1.73,6.53,MIA,1125000
Derek Law,RP,58,4,60.7,61,36,33,40,67,1,2,5,1.66,4.9,TOR,555000
Tyler Glasnow,SP,12,12,60.7,40,13,12,14,76,6,1,0,0.89,1.78,TB,566700
Kevin McCarthy,RP,56,0,60.3,68,31,30,21,38,4,2,1,1.48,4.48,KC,578250
Sean Doolittle,RP,63,0,60.0,63,27,27,15,66,6,5,29,1.3,4.05,WSH,6000000
Will Harris,RP,68,0,60.0,42,14,10,14,62,4,1,4,0.93,1.5,HOU,4225000
Felipe Vazquez,RP,56,0,60.0,43,12,11,13,90,5,1,28,0.93,1.65,PIT,4500000
Lou Trivino,RP/CL,61,0,60.0,61,40,35,31,57,4,6,0,1.53,5.25,OAK,557500
Matt Albers,RP,67,0,59.7,53,34,34,29,57,8,6,4,1.37,5.13,MIL,2500000
Daniel Mengden,RP,13,11,59.7,59,32,32,27,42,5,2,1,1.44,4.83,OAK,555000
Joe Jimenez,RP,66,0,59.7,56,33,29,23,82,4,7,9,1.32,4.37,DET,569200
Jose Alvarez,RP,67,1,59.0,66,25,22,18,51,3,4,1,1.42,3.36,PHI,1925000
Rich Hill,SP,13,13,58.7,48,20,16,18,72,4,1,0,1.13,2.46,LAD,18666668
Blake Treinen,RP/CL,57,0,58.7,58,33,32,37,59,6,5,16,1.62,4.91,OAK,6400000
Dylan Covey,SP,19,12,58.7,75,54,52,28,41,1,8,0,1.76,7.98,CHW,571000
Drew VerHagen,RP,22,4,58.0,70,40,38,23,51,4,3,0,1.6,5.9,DET,567400
Shawn Armstrong,RP,56,1,58.0,66,38,37,29,63,1,2,5,1.64,5.74,BAL,559100
Edwin Diaz,RP/CL,66,0,58.0,58,36,36,22,99,2,7,26,1.38,5.59,NYM,607425
Erik Swanson,RP,27,8,58.0,56,41,37,12,52,1,5,2,1.17,5.74,SEA,555000
Jairo Diaz,RP,56,0,57.7,56,34,29,19,63,6,4,5,1.3,4.53,COL,555000
Tyler Duffey,RP,58,0,57.7,44,23,16,14,82,5,1,0,1.01,2.5,MIN,555000
Gregory Soto,RP/CL,34,6,57.7,74,39,37,33,45,0,5,0,1.86,5.78,DET,555000
Paul Fry,RP,66,0,57.3,54,39,34,29,55,1,9,3,1.45,5.34,BAL,559000
Aroldis Chapman,RP/CL,60,0,57.0,38,18,14,25,85,3,2,37,1.11,2.21,NYY,17200000
Brandon Kintzler,RP,62,0,57.0,46,18,17,13,48,3,3,1,1.03,2.68,CHC,5000000
Nick Margevicius,P,17,12,57.0,73,46,43,19,42,2,6,0,1.61,6.79,SD,555000
Reyes Moronta,RP,56,0,56.7,41,19,18,33,70,3,7,0,1.31,2.86,SF,567500
Michael Feliz,RP,58,1,56.3,44,27,25,27,73,4,4,0,1.26,3.99,PIT,850000
